<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
HBC,20190423,14.6644,14.7064,14.5383,14.6223,1421880
HBC,20190422,15.0845,15.1266,14.4122,14.5803,1597630
HBC,20190419,15.1266,15.1686,14.9585,15.0845,628790
HBC,20190418,15.2946,15.3787,14.9165,15.0425,1668840
HBC,20190417,15.8409,15.9249,15.2946,15.2946,1476030
HBC,20190416,15.6308,15.8829,15.5467,15.7568,1443890
HBC,20190412,15.6728,15.9249,15.5888,15.9249,1201400
HBC,20190411,15.7988,15.9669,15.7148,15.7148,988750
HBC,20190410,15.8829,16.0510,15.7148,15.8829,1497810
HBC,20190409,16.5132,16.5132,15.9669,15.9669,1940270
HBC,20190408,16.6392,16.7653,16.3031,16.3871,2132660
HBC,20190405,16.3031,16.5132,16.3031,16.3031,1687380
HBC,20190404,16.6812,16.6812,16.3031,16.3031,1241610
HBC,20190403,16.3031,16.6812,16.2190,16.6392,1882240
HBC,20190402,16.5552,16.6392,16.3451,16.4291,2565250
HBC,20190401,15.8829,16.3451,15.8409,16.3031,2618910
HBC,20190329,15.7568,15.7988,15.5888,15.7568,962060
HBC,20190328,15.4627,15.7988,15.3787,15.6728,1304930
HBC,20190327,15.5467,15.6728,15.3787,15.5047,821620
HBC,20190326,15.7148,15.7148,15.2526,15.3787,1627130
HBC,20190325,15.2946,15.5467,15.1266,15.5467,2794500
HBC,20190322,15.8829,15.9669,15.5047,15.9249,2328650
HBC,20190321,16.5552,16.6392,15.7148,15.7148,2520450
HBC,20190320,16.8073,16.8073,15.9249,16.5552,4328390
HBC,20190319,17.3115,17.4796,16.7653,16.7653,6041800
HBC,20190318,17.6897,17.8157,17.2275,17.3955,2619510
HBC,20190315,17.0594,17.5636,16.8913,17.4796,3396670
HBC,20190314,17.2275,17.3535,17.0174,17.0174,3121640
HBC,20190313,17.1434,17.3535,17.1014,17.1855,4694290
HBC,20190312,17.3955,17.3955,16.9754,17.0594,2630360
HBC,20190311,17.1434,17.2275,16.7653,17.1014,4643330
HBC,20190308,17.4376,17.4376,16.9333,17.1434,6514810
HBC,20190307,17.7317,17.9838,17.5216,17.6056,3490000
HBC,20190306,17.5636,17.9838,17.5636,17.7317,5581260
HBC,20190305,17.0174,17.4796,16.8913,17.4796,5010220
HBC,20190304,17.1855,17.5216,17.0594,17.1434,3765970
HBC,20190301,16.5552,17.0174,16.5552,17.0174,2636840
HBC,20190228,16.7233,17.1434,16.4291,16.4291,6148110
HBC,20190227,16.1350,16.7653,15.9669,16.5972,4489010
HBC,20190226,15.7568,16.2611,15.6728,16.0089,4189230
HBC,20190225,15.3787,15.8409,15.3787,15.7568,4310240
HBC,20190222,15.2106,15.4207,15.0845,15.2106,1849020
HBC,20190221,15.0845,15.4207,15.0845,15.2526,1311760
HBC,20190220,15.2946,15.3366,15.0425,15.1686,2074740
HBC,20190219,15.8409,15.8829,15.0425,15.0425,3515750
HBC,20190218,15.6308,15.8409,15.4627,15.8409,2636140
HBC,20190215,15.7148,15.8409,15.4627,15.6308,1872340
HBC,20190214,14.9585,15.9669,14.9165,15.7148,3824850
HBC,20190213,15.1266,15.2946,15.0845,15.0845,2176590
HBC,20190212,15.1266,15.4627,14.9585,15.1266,4499750
HBC,20190211,13.6979,14.4543,13.6139,14.4543,2464290
HBC,20190201,13.4458,13.5299,13.2778,13.5299,705220
HBC,20190131,13.4458,13.5719,13.1937,13.4458,1332580
HBC,20190130,13.5719,13.6979,13.4458,13.4458,488820
HBC,20190129,13.5719,13.6139,13.4038,13.4878,505490
HBC,20190128,13.6979,13.7400,13.5719,13.5719,581330
HBC,20190125,13.8660,13.8660,13.6139,13.6139,740740
HBC,20190124,13.7820,13.9080,13.7400,13.7400,479960
HBC,20190123,13.7400,13.7400,13.6139,13.6979,537530
HBC,20190122,13.8240,14.1181,13.6559,13.6559,710570
HBC,20190121,13.6139,13.9500,13.5719,13.8660,412550
HBC,20190118,13.8660,13.9500,13.5719,13.5719,911010
HBC,20190117,14.0761,14.2022,13.8240,13.8660,828760
HBC,20190116,14.2022,14.4122,14.0341,14.0761,1487350
HBC,20190115,13.9080,14.1601,13.9080,14.1181,551410
HBC,20190114,14.1181,14.1601,13.8660,13.8660,864420
HBC,20190111,13.8240,14.4543,13.8240,14.1181,2193200
HBC,20190110,13.5299,14.0761,13.4878,13.7400,1591230
HBC,20190109,12.8996,13.4458,12.8996,13.4458,1247980
HBC,20190108,13.1517,13.1517,12.7735,12.8996,920030
HBC,20190107,13.3618,13.4458,13.0677,13.1097,760670
HBC,20190104,13.0256,13.1517,12.6055,13.0256,1435440
HBC,20190103,14.1181,14.2442,13.1517,13.1517,2457820
HBC,20190102,14.6223,14.8324,14.1181,14.1181,1036600
HBC,20181228,14.8324,14.8324,14.5803,14.5803,843250
HBC,20181227,14.9585,14.9585,14.6223,14.6223,968360
HBC,20181226,14.7064,14.9585,14.2862,14.4543,1021710
HBC,20181225,15.0845,15.0845,14.5383,14.7064,2216390
HBC,20181224,15.8829,16.1350,15.3787,15.3787,1351300
HBC,20181221,15.5467,15.8409,15.3366,15.7568,2098060
HBC,20181220,15.4207,15.7988,15.4207,15.5467,970880
HBC,20181219,16.0930,16.0930,15.4207,15.5467,1390470
HBC,20181218,15.7988,16.1770,15.7148,15.8829,1565740
HBC,20181217,16.6392,16.7653,16.2190,16.2190,1624090
HBC,20181214,17.0594,17.1014,16.7653,16.7653,1671210
HBC,20181213,17.3955,17.4796,16.8913,16.8913,1584210
HBC,20181212,16.7233,17.3115,16.6812,17.2695,2003300
HBC,20181211,16.5552,16.7653,16.3871,16.7653,1212220
HBC,20181210,16.7233,16.8493,16.5132,16.5552,1138160
HBC,20181207,16.7233,17.1855,16.7233,16.9333,2311660
HBC,20181206,15.6728,16.7233,15.6728,16.7233,3172830
HBC,20181205,15.7568,15.8409,15.5888,15.7568,883840
HBC,20181204,16.0510,16.1770,15.8409,15.9669,884660
HBC,20181203,15.6308,16.0089,15.6308,16.0089,1030500
HBC,20181130,15.2946,15.4627,15.2526,15.3787,606010
HBC,20181129,15.5467,15.6728,15.2946,15.2946,752780
HBC,20181128,15.5047,15.5047,15.3366,15.4627,501650
HBC,20181127,15.7148,15.7988,15.2946,15.5047,971780
HBC,20181126,15.6308,15.7988,15.5467,15.7148,611160
HBC,20181123,15.9669,16.0510,15.7148,15.7988,627500
HBC,20181122,16.1350,16.3031,15.9249,16.0089,1212070
HBC,20181121,15.4627,15.8829,15.3787,15.8829,633940
HBC,20181120,15.6308,15.7988,15.4627,15.7988,818380
HBC,20181119,15.6728,15.7988,15.5047,15.7988,853770
HBC,20181116,15.2946,15.6728,15.2946,15.4207,1014310
HBC,20181115,15.6308,15.6728,15.1266,15.2106,1187300
HBC,20181114,15.9669,16.3451,15.5467,15.6308,1042060
HBC,20181113,15.2106,16.2190,15.1266,15.9669,1922350
HBC,20181112,15.7988,15.8829,15.3787,15.6308,2318410
HBC,20181109,16.9333,17.0594,16.0089,16.0089,3120470
HBC,20181108,17.3115,17.3955,17.0174,17.0174,1347640
HBC,20181107,17.3115,17.3535,16.8073,17.0594,2137620
HBC,20181106,17.7317,17.7317,17.3115,17.3115,1588500
HBC,20181105,17.5636,17.6897,17.3955,17.3955,1254570
HBC,20181102,17.6477,17.7317,17.2275,17.6897,2930730
HBC,20181101,17.8157,17.8577,17.3115,17.6477,1162890
HBC,20181031,17.6056,17.8577,17.3955,17.8577,1388480
HBC,20181030,17.1434,17.6477,17.1434,17.1434,2665610
HBC,20181029,18.1099,18.2779,17.5636,17.6477,1962320
HBC,20181026,18.6141,18.7821,18.1519,18.1519,1616540
HBC,20181025,17.4796,18.4880,17.4796,18.2779,2240290
HBC,20181024,19.3284,19.6645,18.4880,18.5721,2155290
HBC,20181023,20.2528,20.2528,19.0763,19.3284,4136180
HBC,20181022,20.5889,21.0511,20.2528,20.2528,2990150
HBC,20181019,20.3788,20.7990,20.2108,20.4629,1981440
HBC,20181018,20.6309,21.3873,20.6309,20.7150,5414300
HBC,20181017,20.4629,21.1772,20.2528,20.9251,4798950
HBC,20181016,19.6645,20.0847,19.4965,20.0847,2729530
HBC,20181015,19.6645,19.8326,19.2864,19.4965,2603620
HBC,20181012,18.4880,19.7906,18.4880,19.7906,2919660
HBC,20181011,19.3284,19.6645,19.0343,19.0343,4910090
HBC,20181010,20.1687,20.5889,20.1687,20.4629,2882680
HBC,20181009,20.1687,20.3368,20.0007,20.1267,1361290
HBC,20181008,20.2528,20.4209,20.0847,20.1267,1985990
HBC,20181005,20.5889,20.7570,20.2948,20.2948,2520850
HBC,20181004,20.4629,20.7570,20.4209,20.6730,2595570
HBC,20181003,20.8410,20.9251,20.4629,20.4629,1440810
HBC,20181002,20.5049,21.0091,20.2528,20.6730,3061050
HBC,20181001,21.0931,21.3032,20.4629,20.5469,4189220
HBC,20180928,21.3453,21.6394,20.9251,20.9251,3582160
HBC,20180927,21.1772,21.4293,21.0931,21.1352,3012430
HBC,20180926,20.5049,21.4293,20.4209,21.1772,4787540
HBC,20180925,20.2108,20.7570,20.1687,20.5049,3275860
HBC,20180924,20.6730,20.6730,20.2528,20.3368,2241310
HBC,20180921,20.6730,20.7570,20.2528,20.5469,4605680
HBC,20180920,20.0847,20.7990,20.0007,20.3368,3074500
HBC,20180919,20.3368,20.7150,19.9587,20.1267,4710640
HBC,20180918,18.9082,20.0007,18.6561,20.0007,5098700
HBC,20180917,19.1603,19.1603,18.7401,19.0763,1102990
HBC,20180914,19.2443,19.3704,18.9922,19.0763,1501880
HBC,20180913,18.9082,19.3284,18.7401,19.1183,2331000
HBC,20180912,18.7401,19.0343,18.6141,18.7401,1645110
HBC,20180911,18.3199,18.6141,18.2779,18.4880,1053330
HBC,20180910,18.6141,18.6141,18.2779,18.2779,1206680
HBC,20180907,18.4460,18.7401,18.4460,18.7401,1194570
HBC,20180906,18.5300,18.7401,18.3620,18.4460,1959840
HBC,20180905,19.1183,19.1603,18.4880,18.8662,1970570
HBC,20180904,19.4544,19.4965,18.8242,19.1603,1640480
HBC,20180831,19.3704,19.7486,19.3704,19.4544,1281130
HBC,20180830,19.3704,19.5385,19.2864,19.4544,1909430
HBC,20180829,18.9502,19.0343,18.8242,19.0343,1447300
HBC,20180828,19.3284,19.3284,18.9082,18.9922,1402260
HBC,20180827,19.1603,19.5805,19.1603,19.2443,1281640
HBC,20180824,19.4965,19.6645,19.1603,19.2443,1284670
HBC,20180823,19.3284,19.6645,19.1183,19.4544,1855010
HBC,20180822,18.9502,19.5385,18.8662,19.0763,2399030
HBC,20180821,18.4880,18.8242,18.3620,18.7821,842650
HBC,20180820,18.4880,18.7401,18.4460,18.4880,867150
HBC,20180817,18.9922,19.0763,18.5721,18.5721,1009870
HBC,20180816,18.7401,18.9922,18.5721,18.9082,1043460
HBC,20180815,19.2864,19.4965,18.6561,19.0343,1228850
HBC,20180814,18.8662,19.6645,18.8242,19.2864,2217930
HBC,20180813,18.9082,18.9922,18.6561,18.8662,1304050
HBC,20180810,18.8242,19.1603,18.6141,18.9502,1379850
HBC,20180809,18.7821,19.2443,18.7821,18.9082,1630050
HBC,20180808,18.4880,18.8662,18.4880,18.7821,911760
HBC,20180807,18.4040,19.0763,18.2359,18.4880,1467970
HBC,20180806,18.7401,18.7821,18.3199,18.4880,829720
HBC,20180803,17.6897,18.9082,17.6477,18.7401,2453410
HBC,20180802,17.6477,17.7737,17.3955,17.6897,602910
HBC,20180801,17.5636,17.8577,17.4796,17.8157,801700
HBC,20180731,17.5216,17.8998,17.3955,17.8157,2053340
HBC,20180730,18.0258,18.4040,17.9838,18.2359,892200
HBC,20180727,17.8998,18.1939,17.5636,17.9838,1187330
HBC,20180726,18.1099,18.2359,17.3115,17.5636,1141130
HBC,20180725,18.4880,18.6141,18.0678,18.1099,655720
HBC,20180724,18.6561,18.8242,18.3199,18.3620,716610
HBC,20180723,19.4124,19.4124,18.5300,18.5721,1883530
HBC,20180720,19.2443,19.5805,18.9502,19.4965,1009580
HBC,20180719,19.5805,19.8326,19.2443,19.4124,1203260
HBC,20180718,18.1519,19.2864,18.1519,19.2864,1989010
HBC,20180717,17.6056,18.0678,17.4376,18.0678,787590
HBC,20180716,17.8998,18.1519,17.5636,17.6056,670520
HBC,20180713,17.5216,17.6477,17.2275,17.5636,746060
HBC,20180712,16.8073,17.3955,16.8073,17.3115,610270
HBC,20180711,17.7317,17.7317,16.8073,16.8073,1665660
HBC,20180710,18.2779,18.3199,17.9418,18.0678,464430
HBC,20180709,18.6561,18.9082,17.8998,18.2779,540560
HBC,20180706,17.7317,18.5300,16.8493,18.4460,1036050
HBC,20180705,18.6561,18.6561,17.1434,17.6477,929760
HBC,20180704,18.4040,18.4880,17.6056,18.3620,912980
HBC,20180703,19.3284,19.6645,18.1519,18.1519,2249570
HBC,20180702,19.9166,20.0427,18.9922,19.4965,1116250
HBC,20180629,20.1687,20.5889,20.0427,20.0427,511950
HBC,20180628,21.0091,21.1352,20.0847,20.3368,1486710
HBC,20180627,21.1352,21.5133,20.5889,21.1352,664590
HBC,20180626,21.5133,21.7234,21.1352,21.1352,684400
HBC,20180625,22.1016,22.1436,21.7654,21.7654,576130
HBC,20180622,21.2612,21.8915,21.2612,21.7654,887690
HBC,20180621,22.1016,22.1856,21.6814,21.8075,610110
HBC,20180620,21.8495,22.1856,21.0511,22.1856,1300300
HBC,20180619,22.0175,22.6898,21.8075,21.8075,2920910
HBC,20180618,24.4546,24.4546,23.1100,23.4041,830250
HBC,20180615,24.2025,24.7907,23.8663,24.2865,973770
HBC,20180614,22.6898,24.2445,22.6898,24.2025,6982400
HBC,20180613,22.4377,22.6898,22.1016,22.6898,508150
HBC,20180612,22.5218,22.6898,21.1772,22.3537,887850
HBC,20180611,22.6898,22.9419,22.4377,22.5218,813300
HBC,20180608,22.2697,23.0260,22.1436,22.8579,880220
HBC,20180607,22.7319,22.7739,22.1856,22.4377,963560
HBC,20180606,22.8579,23.2781,22.2697,22.7319,870040
HBC,20180605,22.8159,22.8159,22.2697,22.5218,1933900
HBC,20180604,19.9587,21.3453,19.9166,21.3453,935100
HBC,20180601,20.0007,20.3368,19.7486,19.9587,1048580
HBC,20180531,19.5805,20.3368,19.4965,20.0847,739790
HBC,20180530,20.1687,20.5049,19.7906,19.8326,622880
HBC,20180529,18.9922,20.1687,18.7401,20.1687,946140
HBC,20180528,20.1495,20.5359,18.8522,18.8522,2207490
HBC,20180525,20.7567,21.0880,20.2599,20.2599,929850
HBC,20180524,21.4744,21.7228,20.6463,20.7843,878330
HBC,20180523,21.3088,21.6400,20.9776,21.3640,1089780
HBC,20180522,22.6061,22.6061,21.4468,21.8056,928110
HBC,20180521,22.6337,22.6889,22.3577,22.6061,731590
HBC,20180518,22.0816,22.3301,21.8056,22.3025,994320
HBC,20180517,21.5848,21.7504,21.4468,21.6676,372510
HBC,20180516,21.9160,21.9160,21.4468,21.4468,591040
HBC,20180515,22.3577,22.3577,21.7228,21.9160,489240
HBC,20180514,22.0816,22.0816,21.6400,21.9712,501670
HBC,20180511,21.5296,22.0264,21.4192,22.0264,509390
HBC,20180510,22.4129,22.4129,21.8056,21.8056,466760
HBC,20180509,22.4681,22.6889,22.0816,22.4129,978370
HBC,20180508,22.5233,22.9925,22.4681,22.4681,438620
HBC,20180507,22.5233,22.8545,22.1920,22.5233,459020
HBC,20180504,22.8545,22.8545,22.1920,22.3577,579650
HBC,20180503,22.6337,22.6337,21.5296,22.6337,848530
HBC,20180502,22.3577,22.9097,22.2196,22.6337,803940
HBC,20180427,20.4255,22.0816,20.4255,22.0816,1005390
HBC,20180426,22.5785,22.5785,21.0604,21.0604,1415750
HBC,20180424,22.2472,23.0753,22.1644,22.6337,2116890
HBC,20180423,25.1731,25.1731,23.8206,23.8206,3006040
HBC,20180420,25.6147,25.8355,25.0351,25.5871,828870
HBC,20180419,25.9459,26.0011,24.2898,25.8355,1198840
HBC,20180418,26.4428,26.7188,26.0011,26.0011,932540
HBC,20180417,26.2219,26.2219,25.5595,26.0839,812130
HBC,20180416,26.2771,26.3876,25.8079,26.0839,900760
HBC,20180413,26.8292,26.8844,26.0839,26.2771,1165620
HBC,20180412,26.1115,26.7740,25.8355,26.4980,1683220
HBC,20180411,26.9396,27.5468,26.3600,26.4980,2232630
HBC,20180410,28.1541,28.2093,26.4980,26.9396,5108520
HBC,20180409,27.1880,28.0989,27.1328,27.9885,2327930
HBC,20180406,26.7740,27.2156,26.3876,27.0500,2982830
HBC,20180405,26.7464,26.9948,26.4980,26.7740,2192490
HBC,20180404,26.0563,26.4704,25.9459,26.3600,2708020
HBC,20180403,25.2835,25.6699,25.1179,25.6699,2132270
HBC,20180402,24.7866,25.3939,24.6486,25.2559,2619440
HBC,20180330,24.4554,24.8142,24.0138,24.6210,1172680
HBC,20180329,24.5658,25.0075,24.0690,24.4554,1094790
HBC,20180328,23.4341,24.4830,23.1857,24.4554,1564260
HBC,20180327,23.2961,23.4617,23.0201,23.4341,1018130
HBC,20180326,23.3789,23.9034,22.9097,22.9097,1018690
HBC,20180323,23.4617,23.7378,23.0753,23.3789,1646500
HBC,20180322,24.6762,24.7314,24.0138,24.2898,1437600
HBC,20180321,25.0627,25.1179,24.5106,24.6762,963150
HBC,20180320,24.5658,25.2835,24.5658,24.7590,1416910
HBC,20180319,25.3939,25.4491,24.3726,24.5658,1580770
HBC,20180316,25.4491,25.5043,25.0075,25.2835,1492070
HBC,20180315,25.2283,26.0563,24.8694,25.5043,2163770
HBC,20180314,23.9586,25.3387,23.9034,25.2283,3173810
HBC,20180313,22.9097,23.7930,22.5509,23.7930,1844960
HBC,20180312,23.6826,23.6826,22.8545,23.0201,1121520
HBC,20180309,23.7378,23.7378,23.2409,23.5169,1448280
HBC,20180308,23.5169,23.9586,23.3789,23.5997,1630350
HBC,20180307,23.4617,23.9862,23.3237,23.5997,2364480
HBC,20180306,23.9862,24.1242,23.1857,23.6273,4231280
HBC,20180305,21.4192,22.8545,21.4192,22.8545,2849450
HBC,20180302,20.4255,21.5020,20.1495,21.3640,1321810
HBC,20180301,20.4807,20.7015,20.3151,20.5359,1319030
HBC,20180228,21.2536,21.2536,20.8119,20.8671,1122160
HBC,20180227,21.3640,21.5296,21.0880,21.1984,873900
HBC,20180226,21.6952,21.8608,21.4192,21.5296,1280690
HBC,20180223,21.5296,21.6952,21.2536,21.6952,1108100
HBC,20180222,21.5296,21.8884,21.4192,21.4192,1086720
HBC,20180221,21.5296,21.9160,21.4192,21.9160,950260
HBC,20180213,20.9776,21.4744,20.9776,21.3916,1322090
HBC,20180212,20.3979,20.9776,19.9839,20.9776,1653100
HBC,20180209,20.1495,20.3979,19.4594,19.9839,1979190
HBC,20180208,21.2536,21.2536,20.4255,20.8947,835610
HBC,20180207,22.0816,22.0816,20.9776,21.2536,1537860
HBC,20180206,20.6463,21.5296,20.6463,20.6463,3448380
HBC,20180205,23.4617,23.6273,22.1920,22.1920,1969000
HBC,20180202,24.2346,24.2346,23.7930,23.8482,710160
HBC,20180201,24.5658,24.8142,24.0138,24.1794,583930
HBC,20180131,24.8418,25.3939,24.4002,24.4002,1076010
HBC,20180130,23.7378,24.6762,22.9097,24.6210,2287060
HBC,20180129,24.9246,25.2835,23.9034,23.9034,2088900
HBC,20180126,25.6423,25.6423,24.8970,24.9799,3077930
HBC,20180125,25.6147,25.9459,25.6147,25.6423,2505640
HBC,20180122,25.9459,26.0563,25.4215,25.4491,1626400
HBC,20180119,25.6147,26.4980,25.6147,25.8355,1562310
HBC,20180118,25.4491,25.6699,25.0075,25.6147,1250480
HBC,20180117,26.6084,26.6084,25.6147,25.6147,1588440
HBC,20180116,26.5532,26.6360,26.2219,26.4980,1873870
HBC,20180115,26.4980,26.6636,26.1667,26.6360,1522520
HBC,20180112,26.6636,26.9396,26.3324,26.6360,2319550
HBC,20180111,25.7251,26.7740,25.4215,26.6360,2202100
HBC,20180110,24.9522,26.0563,24.8418,25.6699,3059920
HBC,20180109,24.8418,25.1455,24.6762,24.8142,1401380
HBC,20180108,24.8418,25.2283,24.5934,24.7038,1734680
HBC,20180105,25.3939,25.3939,24.7590,24.9522,1331200
HBC,20180104,25.6699,25.6699,25.2283,25.3939,1548440
HBC,20180103,24.2898,25.3111,24.1794,25.2283,3359620
HBC,20180102,24.5106,24.7314,23.1857,23.7378,3567320
HBC,20171229,24.8418,25.0627,24.4554,24.5106,1181320
HBC,20171228,24.2898,25.1731,24.2898,24.7314,1581650
HBC,20171227,25.7803,25.8355,24.2898,24.2898,5272430
HBC,20171226,26.2219,26.2219,25.8355,25.8355,1138880
HBC,20171225,26.3876,26.3876,25.9459,25.9459,792080
HBC,20171222,26.1115,26.3876,26.0563,26.3876,1052350
HBC,20171221,26.6636,26.8292,26.1115,26.1115,1388950
HBC,20171220,26.9396,26.9948,26.4980,26.6636,1092130
HBC,20171219,27.4364,27.5192,26.8292,26.8292,1264410
HBC,20171218,27.6020,27.6020,27.2708,27.3260,686770
HBC,20171215,26.9396,27.2156,26.8292,27.0500,2814180
HBC,20171214,26.2219,27.2156,26.2219,27.2156,768530
HBC,20171213,27.0500,27.0500,25.9459,26.4980,1220880
HBC,20171212,27.6572,27.6572,25.5043,26.9948,2806670
HBC,20171211,27.6020,27.9885,27.3812,27.3812,1031150
HBC,20171208,28.7613,29.2582,28.3749,28.3749,1544330
HBC,20171207,27.7125,28.7061,27.7125,28.6509,3712540
HBC,20171206,27.7125,27.7125,27.1604,27.5744,1699190
HBC,20171205,27.6020,28.1541,27.3812,27.3812,1568380
HBC,20171204,27.6572,27.7125,27.0500,27.0500,1845200
HBC,20171201,27.3260,27.9885,27.2984,27.6020,750860
HBC,20171130,27.7125,27.7677,27.2156,27.3536,1467080
HBC,20171129,27.9885,28.0989,27.6020,27.8781,1438970
HBC,20171128,28.3749,28.8165,27.9333,28.2093,1103490
HBC,20171127,27.6572,28.5405,27.3812,28.2645,1489030
HBC,20171124,26.6084,27.6020,25.7803,27.3260,2038570
HBC,20171123,27.1604,27.3260,26.6084,26.7188,1098170
HBC,20171122,26.7740,27.5468,26.7740,27.3260,1029390
HBC,20171121,27.8781,27.8781,26.1115,27.1052,3097760
HBC,20171120,28.8165,29.0374,27.7125,27.9885,2546210
HBC,20171117,29.4790,29.4790,28.5957,28.8165,1175970
HBC,20171116,29.0374,29.6446,28.9821,29.3686,961470
HBC,20171115,28.3749,29.0926,28.0437,28.8165,1154340
HBC,20171114,28.0437,28.3749,27.9333,28.2093,907900
HBC,20171113,28.3749,28.5957,27.7125,27.9333,1706770
HBC,20171110,28.9821,29.3686,28.2645,28.5957,1745980
HBC,20171109,29.8654,29.8654,29.0926,29.1478,1319920
HBC,20171108,29.4790,29.9758,29.1478,29.8102,1560490
HBC,20171107,29.8102,30.6383,29.3134,29.8102,2343080
HBC,20171106,28.7061,30.3070,28.7061,30.3070,3095210
HBC,20171103,26.2219,28.3749,26.2219,28.3749,3444830
HBC,20171102,28.3749,28.5405,26.5532,26.5532,4694210
HBC,20171101,28.7061,29.0926,28.2645,28.5405,2066330
HBC,20171031,30.3070,30.3070,28.3749,28.7061,3150840
HBC,20171030,31.6319,32.0736,29.3134,29.3134,3616310
HBC,20171027,31.0247,31.9080,31.0247,31.4663,1629710
HBC,20171026,32.9568,32.9568,31.0247,31.3559,4304770
HBC,20171025,33.2881,33.2881,32.7912,32.7912,970390
HBC,20171024,33.0120,33.2881,32.7360,33.0120,1153340
HBC,20171023,33.3985,33.6745,32.6256,32.7912,2240150
HBC,20171020,34.2265,34.5578,33.3985,33.3985,1699090
HBC,20171019,34.2265,34.6130,33.9505,34.2817,978150
HBC,20171018,35.0546,35.5514,34.2265,34.2265,3006350
HBC,20171017,35.0546,35.2202,34.5578,35.1098,1264600
HBC,20171016,35.2202,35.4962,35.0546,35.1098,972140
HBC,20171013,35.2202,35.3858,34.8890,35.2202,691200
HBC,20171012,35.0546,35.1098,34.5578,35.1098,820770
HBC,20171011,35.0546,35.4410,34.6682,34.9442,1402280
HBC,20171010,33.9505,34.7786,33.9505,34.7786,1550290
HBC,20171009,33.3433,33.8401,33.3433,33.7849,899510
HBC,20171006,33.3985,33.6193,33.2329,33.3433,601350
HBC,20171005,33.9505,33.9505,33.3985,33.5641,616900
HBC,20171004,33.1777,33.6745,33.1777,33.6745,818130
HBC,20171003,33.6193,33.7297,32.8464,33.1777,1363040
HBC,20171002,33.9505,34.1713,33.5089,33.8401,568400
HBC,20170929,33.2881,33.9505,32.8464,33.8953,1720260
HBC,20170928,34.5026,34.7234,33.2329,33.2329,2084780
HBC,20170927,34.5026,34.9994,34.5026,34.5026,875220
HBC,20170926,34.3369,34.6682,34.0609,34.5026,726420
HBC,20170925,34.7786,34.7786,34.3369,34.3369,741070
HBC,20170922,34.2265,34.9442,34.2265,34.7234,1271030
HBC,20170921,33.3985,34.2265,33.3985,34.2265,814220
HBC,20170920,33.7849,34.0609,33.3985,33.3985,1392190
HBC,20170919,34.5026,34.5026,33.7849,33.7849,1049650
HBC,20170918,33.5641,34.6682,33.5641,34.2817,1477740
HBC,20170915,33.3985,33.8953,33.3433,33.5641,2859600
HBC,20170914,33.6745,34.0057,33.4537,33.4537,1010740
HBC,20170913,33.7849,34.0609,33.3433,33.7849,1816190
HBC,20170912,31.7976,33.6745,31.7976,33.6745,3886640
HBC,20170911,31.7976,32.0184,31.4111,31.7976,1409730
HBC,20170908,31.9632,32.2392,31.5215,31.5215,1523070
HBC,20170907,31.7976,32.2944,31.6871,31.6871,1299690
HBC,20170906,31.9080,32.0736,31.6871,31.7976,930010
HBC,20170905,32.1840,32.2392,31.8528,31.9632,1291470
HBC,20170901,31.6319,32.2944,31.4663,32.1840,2346110
HBC,20170831,31.4663,31.9080,31.4663,31.5215,1552780
HBC,20170830,31.5215,32.1288,31.3007,31.6319,1830830
HBC,20170829,30.5279,31.6871,30.3070,31.5215,4583190
HBC,20170828,29.3686,30.2518,29.3134,30.2518,1388790
HBC,20170825,29.8102,29.9758,29.4238,29.4790,775810
HBC,20170824,29.6446,29.9758,29.4790,29.8102,789960
HBC,20170823,29.8102,29.8102,29.4238,29.6446,540060
HBC,20170822,29.2582,30.0862,29.0374,29.6998,1719660
HBC,20170821,30.2518,30.2518,29.4238,29.5342,1309300
HBC,20170818,29.3686,29.9206,29.2030,29.8102,1688840
HBC,20170817,30.3070,30.3622,29.8654,29.9758,850590
HBC,20170816,30.3622,30.3622,30.0862,30.3070,478200
HBC,20170815,30.4727,30.5831,30.1414,30.4727,570440
HBC,20170814,29.0926,30.4175,29.0926,30.3622,1209270
HBC,20170811,29.4238,29.4790,28.8717,29.4238,723950
HBC,20170810,29.5342,29.6446,29.0374,29.4238,611890
HBC,20170809,29.6998,29.8102,28.7061,29.5342,1599360
HBC,20170808,30.3622,30.3622,29.8102,29.9758,1133970
HBC,20170807,30.8039,30.8039,30.4175,30.4175,754350
HBC,20170804,30.9143,31.0799,30.5831,30.8591,573490
HBC,20170803,30.3070,30.9143,29.9758,30.8591,1101070
HBC,20170802,29.9758,30.3070,29.8102,30.1966,1427570
HBC,20170801,30.4727,31.0799,29.9758,30.3622,2207890
HBC,20170731,30.8591,31.3559,30.6383,30.6383,3546220
HBC,20170728,32.0184,32.0736,31.7424,31.7424,995870
HBC,20170727,32.3496,32.3496,31.7424,31.7424,1109520
HBC,20170726,31.7976,32.2944,31.7976,32.1840,1472210
HBC,20170725,31.0247,31.6871,30.9695,31.6871,787560
HBC,20170724,30.9143,31.3559,30.6383,30.9695,902100
HBC,20170721,31.0247,31.7976,30.8591,31.1351,2191870
HBC,20170720,31.9080,31.9080,30.9695,31.0247,1504890
HBC,20170719,31.9632,32.1840,31.7424,31.9080,842970
HBC,20170718,31.1903,32.0184,31.0799,31.7424,1509560
